movieId,title,Plot,actors,director,runtime,cert,imdb_rating,imdb_id,poster
11,The American President,"Comedy-drama about a widowed U.S. President and a lobbyist who fall in love. It's all above-board, but ""politics is perception"", and sparks fly anyway.","Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox",Rob Reiner,114,PG-13,6.8,tt0112346,https://m.media-amazon.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1_SX300.jpg
12,Dracula: Dead and Loving It,Mel Brooks' parody of the classic vampire story and its famous film adaptations.,"Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck",Mel Brooks,88,PG-13,5.8,tt0112896,https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_SX300.jpg
13,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings",Simon Wells,78,G,7.1,tt0112453,https://m.media-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg
14,Nixon,"A biographical story of former U.S. President Richard Milhous Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.","Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris",Oliver Stone,192,R,7.1,tt0113987,https://m.media-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
15,Cutthroat Island,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin",Renny Harlin,124,PG-13,5.6,tt0112760,https://m.media-amazon.com/images/M/MV5BMDg2YTI0YmQtYzgwMi00Zjk4LWJkZjgtYjg0ZDE2ODUzY2RlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg
16,Casino,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.","Robert De Niro, Sharon Stone, Joe Pesci, James Woods",Martin Scorsese,178,R,8.2,tt0112641,https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg
17,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.","James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet",Ang Lee,136,PG,7.7,tt0114388,https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_SX300.jpg
18,Four Rooms,Four interlocking tales that take place in a fading hotel on New Year's Eve.,"Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna","Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino",98,R,6.7,tt0113101,https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
19,Ace Ventura: When Nature Calls,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.","Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi",Steve Oedekerk,90,PG-13,6.4,tt0112281,https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
20,Money Train,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.","Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake",Joseph Ruben,110,R,5.6,tt0113845,https://m.media-amazon.com/images/M/MV5BYWZlMzIwYzYtOWZiMi00ZGEzLWFhYmQtNmEzYzJlNDg1NjhjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
21,Get Shorty,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.","John Travolta, Gene Hackman, Rene Russo, Danny DeVito",Barry Sonnenfeld,105,R,6.9,tt0113161,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_SX300.jpg
22,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara",Jon Amiel,123,R,6.6,tt0112722,https://m.media-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg
23,Assassins,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov",Richard Donner,132,R,6.3,tt0112401,https://m.media-amazon.com/images/M/MV5BZGI1NDA4ZDItNTRjMi00YTU3LTkwZDEtYjdlNTI1ZjQxZDM1XkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg
24,Powder,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum",Victor Salva,111,PG-13,6.6,tt0114168,https://m.media-amazon.com/images/M/MV5BOGUzYzNiZTItYmZlNi00ODI1LThjNTMtNjI1MTNlZDQ0OGY2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg
25,Leaving Las Vegas,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis",Mike Figgis,111,R,7.5,tt0113627,https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_SX300.jpg
26,Othello,The Moorish general Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his lieutenant Michael Cassio when in reality it is all part of the scheme of a bitter ensign named Iago.,"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker",Oliver Parker,123,R,6.9,tt0114057,https://m.media-amazon.com/images/M/MV5BMTIxMzA2ODk2NV5BMl5BanBnXkFtZTcwMzQ4ODIyMQ@@._V1_SX300.jpg
27,Now and Then,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith",Lesli Linka Glatter,100,PG-13,6.8,tt0114011,https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg
28,Persuasion,"Royal Navy captain Wentworth was haughtily turned down eight years ago as suitor of pompous baronet Sir Walter Elliot's daughter Anne, despite true love. Now he visits their former seaside ...","Sally Hawkins, Alice Krige, Anthony Head, Julia Davis",Adrian Shergold,93,N/A,7.5,tt0844330,https://m.media-amazon.com/images/M/MV5BNjcxZmE2YmQtNGNiNC00YTJmLTljN2YtZTgwNjllZjg4ZjlmXkEyXkFqcGdeQXVyNTg1NDgxNTY@._V1_SX300.jpg
29,The City of Lost Children,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon","Marc Caro, Jean-Pierre Jeunet",112,R,7.6,tt0112682,https://m.media-amazon.com/images/M/MV5BZGQxZDMwYzYtYmFjNi00NWYyLThjZjAtMDJhODZhYTkyZDNhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
30,Shanghai Triad,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,"Li Gong, Baotian Li, Xiaoxiao Wang, Xuejian Li",Yimou Zhang,108,R,7.2,tt0115012,https://m.media-amazon.com/images/M/MV5BMTgyMzAwOTQyNF5BMl5BanBnXkFtZTcwNDU1MjgxMQ@@._V1_SX300.jpg
31,Dangerous Minds,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett",John N. Smith,99,R,6.5,tt0112792,https://m.media-amazon.com/images/M/MV5BZjk2YjNkYTYtOTZkNy00ZmRkLWI5ODEtYzA4MTM3MzMyZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
32,Twelve Monkeys,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","Joseph Melito, Bruce Willis, Jon Seda, Michael Chance",Terry Gilliam,129,R,8.0,tt0114746,https://m.media-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
33,Wings of Courage,"While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot.","Craig Sheffer, Tom Hulce, Elizabeth McGovern, Val Kilmer",Jean-Jacques Annaud,40,G,6.5,tt0114952,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3ODY1MjA3OF5BMl5BanBnXkFtZTcwODgzOTgyMQ@@._V1_SX300.jpg
34,Babe,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.","Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving",Chris Noonan,91,G,6.8,tt0112431,https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg
35,Carrington,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.,"Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West",Christopher Hampton,121,R,6.9,tt0112637,https://m.media-amazon.com/images/M/MV5BZjQ3MTBkNDEtMGRlZS00OTY0LTkzYjktOWU2MzI3ZDRiMjY5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
36,Dead Man Walking,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.","Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry",Tim Robbins,122,R,7.5,tt0112818,https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_SX300.jpg
37,Across the Sea of Time,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...","Peter Reznick, John McDonough, Avi Hoffman, Victor Steinbach",Stephen Low,51,G,6.4,tt0112286,https://images-na.ssl-images-amazon.com/images/M/MV5BOTIwMzk1MDc1MF5BMl5BanBnXkFtZTcwMTEzNDkyMQ@@._V1_SX300.jpg
38,It Takes Two,"Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ...","Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen",Andy Tennant,101,PG,5.8,tt0113442,https://m.media-amazon.com/images/M/MV5BMzdhMGU0MzEtZjg1Ny00YzE5LWE0MGQtMTNiN2UwN2I5ZDBjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_SX300.jpg
39,Clueless,"A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.","Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd",Amy Heckerling,97,PG-13,6.8,tt0112697,https://m.media-amazon.com/images/M/MV5BMTgxODIxODE2MF5BMl5BanBnXkFtZTgwOTA4NjQxMTE@._V1_SX300.jpg
40,"Cry, the Beloved Country","A South African preacher goes to search for his wayward son, who has committed a crime in the big city.","James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton",Darrell Roodt,106,PG-13,6.9,tt0112749,https://m.media-amazon.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1_SX300.jpg
41,Richard III,The classic Shakespearean play about a murderously scheming King staged in an alternative fascist England setting.,"Christopher Bowen, Edward Jewesbury, Ian McKellen, Bill Paterson",Richard Loncraine,110,R,7.5,tt0114279,https://m.media-amazon.com/images/M/MV5BOWI3NjhhZDItNWQ2NS00Zjg0LWIzMjctNzY0MjRmNzkyYzVmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
42,Dead Presidents,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.","Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez","Albert Hughes, Allen Hughes",119,R,6.9,tt0112819,https://m.media-amazon.com/images/M/MV5BNjdhZWEzMzEtMjNhZS00OThhLWFiZWUtM2EwMWU5MWE0MDA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
43,Restoration,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.","Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker",Michael Hoffman,117,R,6.7,tt0114272,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxODZiZTUtNTlhNy00Y2Q3LWFjMjctOTYyZGY2ZmIxZGRkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
44,Mortal Kombat,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa",Paul W.S. Anderson,101,PG-13,5.8,tt0113855,https://m.media-amazon.com/images/M/MV5BNzJhYjYxMTctNmY4My00NGIzLThmN2MtYjgwMjlmZWNjMTJlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
45,To Die For,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck",Gus Van Sant,106,R,6.8,tt0114681,https://m.media-amazon.com/images/M/MV5BNGZhYzgwNzItNDljNC00MDM4LThiYjEtNDRhNmE5NDk2MTQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
46,How to Make an American Quilt,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,"Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin",Jocelyn Moorhouse,117,PG-13,6.2,tt0113347,https://m.media-amazon.com/images/M/MV5BNGYwZmZkYWItNjdmMi00MjI2LThmOGYtMmI1NTQ0OWQ1YWIxXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_SX300.jpg
47,Seven Samurai,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",Akira Kurosawa,207,Not Rated,8.7,tt0047478,https://m.media-amazon.com/images/M/MV5BMTRjZTc3NjItMDJiMC00MTNmLTlkYjEtN2ZiZWU4YmI1OGI4XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
48,Pocahontas,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.,"Joe Baker, Christian Bale, Irene Bedard, Billy Connolly","Mike Gabriel, Eric Goldberg",81,G,6.7,tt0114148,https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg
49,When Night Is Falling,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.","Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox",Patricia Rozema,94,R,6.6,tt0114916,https://m.media-amazon.com/images/M/MV5BNmZmNzc3ZWYtNTI2ZS00NWFlLWFkMWMtMGUxN2UxZjljZTY5XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg
50,The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak",Bryan Singer,106,R,8.6,tt0114814,https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
51,Guardian Angel,"Christine McKay is a cop. She and some other cops which includes her lover are pursuing some criminals. Her lover gets killed by a woman named Nina, who is later caught. Because of his ...","Cynthia Rothrock, Daniel McVicar, Lydie Denier, Marshall R. Teague",Richard W. Munchkin,97,R,4.9,tt0109950,https://ia.media-imdb.com/images/M/MV5BMTI1OTA0NDQzN15BMl5BanBnXkFtZTcwMjIwNjQyMQ@@._V1_SX300.jpg
52,Mighty Aphrodite,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.","Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena",Woody Allen,95,R,7.1,tt0113819,https://m.media-amazon.com/images/M/MV5BMGM1NzM2ZjktNDM5ZS00YmExLTk5ZmYtNDdkNjdkNTdhZWZkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg
53,Lamerica,Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...,"Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli",Gianni Amelio,116,N/A,7.6,tt0110299,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0MTI5MjU3MF5BMl5BanBnXkFtZTcwMjMzODUyMQ@@._V1_SX300.jpg
54,The Big Green,"A teacher on exchange from England is placed in an underachieving Texan school, where she coaches the children in soccer, improving their self esteem and leading to unexpected success.","Steve Guttenberg, Olivia d'Abo, Jay O. Sanders, John Terry",Holly Goldberg Sloan,100,PG,5.5,tt0112499,https://m.media-amazon.com/images/M/MV5BNmY4NWVkM2UtY2FkZC00NWJiLTg5N2EtYzk4NjJkMGE0YzA3XkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg
55,Georgia,"Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ...","Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich",Ulu Grosbard,115,R,6.5,tt0113158,https://m.media-amazon.com/images/M/MV5BZWJiNjMwYzMtZWU5Yi00NGI0LTg5NGYtZDY4MWRiYjEwYTYzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
56,Kids of the Round Table,"Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil ...","Johnny Morina, Maggie Castle, Christopher Olscamp, Justin Borntraeger",Robert Tinnell,89,UNRATED,4.9,tt0113541,https://images-na.ssl-images-amazon.com/images/M/MV5BMTEwMTM0MzI3OTheQTJeQWpwZ15BbWU3MDQzNTQ2MTE@._V1_SX300.jpg
57,Home for the Holidays,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.","Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning",Jodie Foster,103,PG-13,6.6,tt0113321,https://m.media-amazon.com/images/M/MV5BMWU3NmFlNzAtMDM0Zi00OGM0LTgxN2EtZDVlNTBmYWYzNWUzXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg
58,Aquaman,"Arthur Curry learns that he is the heir to the underwater kingdom of Atlantis, and must step forward to lead his people and be a hero to the world.","Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson",James Wan,143,PG-13,7.5,tt1477834,https://m.media-amazon.com/images/M/MV5BOTk5ODg0OTU5M15BMl5BanBnXkFtZTgwMDQ3MDY3NjM@._V1_SX300.jpg
59,The Confessional,"The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the ...","Lothaire Bluteau, Patrick Goyette, Jean-Louis Millette, Kristin Scott Thomas",Robert Lepage,100,NOT RATED,7.5,tt0112714,https://images-na.ssl-images-amazon.com/images/M/MV5BYzViYmE5OWQtOTlmZi00ZDM2LTg5NTEtYjVkODBhZmI3MGQzXkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_SX300.jpg
60,The Indian in the Cupboard,"On his ninth birthday, a boy receives, among other gifts, a wooden cabinet and a tiny plastic model of a native American. He soon discovers that the cabinet is magical and can bring toys to life.","Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins",Frank Oz,96,PG,5.9,tt0113419,https://m.media-amazon.com/images/M/MV5BZWZlYmZiZGMtN2YyZC00MTdjLTllNjUtYWNhZDMwNDhhOTM1XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
61,Eye for an Eye,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.","Sally Field, Ed Harris, Olivia Burnette, Alexandra Kyle",John Schlesinger,101,R,6.2,tt0116260,https://m.media-amazon.com/images/M/MV5BMDM4Mzc5ZjAtM2JjMi00NzU1LWEzM2MtNDQzNWI5MmRkM2I1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
62,Mr. Holland's Opus,A frustrated composer finds fulfillment as a high school music teacher.,"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis",Stephen Herek,143,PG,7.3,tt0113862,https://m.media-amazon.com/images/M/MV5BZDZhNDRlZjAtYzdhNy00ZjU1LWFlMDYtNjA5NjliM2Y5ZmVjL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg
